Day,Parent_organisation,Customer,Customer_Id,SIM_State,Sum_Bytes_upload,Sum_Bytes_download,Sum_Total_Kbytes,Nr._of_Voice_calls,Nr._of_SMS_MO,Nr._of_SMS_payload,Nr._of_SMS_transactional,Nr._of_Transactional_SMS_enh.,Nr._of_SMS_wakeup,Nr._of_SMS_P2P_MO,Nr._of_SMS_P2P_MT,Total_Nr._of_SMS,Nr._of_PS_sessions,Sum_Total_Duration,Nr._of_SIMs
2023-04-26,VFCZ,HARDWARIO,100217240,Active.Test,"160,299",0,157,0,0,0,0,0,0,0,0,0,5,0,3
2023-04-26,VFCZ,HARDWARIO,100217240,Active.Live,"48,538,497","29,735,709","76,440",0,0,0,0,0,0,0,0,0,"1,999",0,788
2023-04-27,VFCZ,HARDWARIO,100217240,Active.Test,"135,306",0,132,0,0,0,0,0,0,0,0,0,3,0,2
2023-04-27,VFCZ,HARDWARIO,100217240,Active.Live,"39,581,434","21,102,185","59,261",0,0,0,0,0,0,0,0,0,"1,578",0,787
2023-04-28,VFCZ,HARDWARIO,100217240,Active.Test,"168,601",0,165,0,0,0,0,0,0,0,0,0,25,0,7
2023-04-28,VFCZ,HARDWARIO,100217240,Active.Live,"36,948,921","17,134,356","52,816",0,0,0,0,0,0,0,0,0,"1,392",0,794
2023-04-29,VFCZ,HARDWARIO,100217240,Active.Test,"8,491",0,8,0,0,0,0,0,0,0,0,0,13,0,6
2023-04-29,VFCZ,HARDWARIO,100217240,Active.Live,"54,375,638","34,362,146","86,658",0,0,0,0,0,0,0,0,0,"1,737",0,793
2023-04-30,VFCZ,HARDWARIO,100217240,Active.Test,"25,741",0,25,0,0,0,0,0,0,0,0,0,4,0,3
2023-04-30,VFCZ,HARDWARIO,100217240,Active.Live,"51,276,656","27,215,643","76,653",0,0,0,0,0,0,0,0,0,"1,895",0,796
2023-05-01,VFCZ,HARDWARIO,100217240,Active.Test,"59,552",0,58,0,0,0,0,0,0,0,0,0,2,0,2
2023-05-01,VFCZ,HARDWARIO,100217240,Active.Live,"54,625,541","28,150,985","80,836",0,0,0,0,0,0,0,0,0,"1,861",0,794
2023-05-02,VFCZ,HARDWARIO,100217240,Active.Test,"54,679",0,53,0,0,0,0,0,0,0,0,0,2,0,2
2023-05-02,VFCZ,HARDWARIO,100217240,Active.Live,"46,125,511","22,831,688","67,341",0,0,0,0,0,0,0,0,0,"1,970",0,793
2023-05-03,VFCZ,HARDWARIO,100217240,Active.Test,"55,656",0,54,0,0,0,0,0,0,0,0,0,2,0,2
2023-05-03,VFCZ,HARDWARIO,100217240,Active.Live,"47,945,209","22,792,974","69,080",0,0,0,0,0,0,0,0,0,"1,651",0,797
2023-05-04,VFCZ,HARDWARIO,100217240,Active.Test,"37,743",0,37,0,0,0,0,0,0,0,0,0,2,0,2
2023-05-04,VFCZ,HARDWARIO,100217240,Active.Live,"39,629,079","20,160,895","58,389",0,0,0,0,0,0,0,0,0,"1,537",0,793
